Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
1,Indus Valley Civilization Flourishes,Unknown,Unknown,2600 BC,India,Civilization,Indus Valley,Development of one of the world's earliest urban civilizations,Local inhabitants,Indus Valley people,Positive
2,Battle of the Ten Kings,Unknown,Unknown,1400 BC,India,Battle,Punjab,Rigvedic tribes consolidated their control over the region,Rigvedic tribes,Sudas,Positive
6,Establishment of the Delhi Sultanate,Unknown,Unknown,1206,India,Political,Delhi,Muslim rule established in parts of India,People of Delhi and surrounding regions,QutbUnknownudUnknowndin Aibak,Mixed
7,Battle of Panipat,21,April,1526,India,Battle,Panipat,Foundation of the Mughal Empire in India,Northern Indian kingdoms,Babur,Mixed
8,Establishment of British Raj,1,May,1858,India,Colonial,Whole India,Start of direct British governance in India,Indian subcontinent,British East India Company/Empire,Negative
9,Partition of India,15,August,1947,India,Partition,India/Pakistan,Creation of India and Pakistan; massive population displacement and violence,"Hindus, Muslims, Sikhs","British Empire, Indian political leaders",Negative
10,IndoUnknownPakistani War of 1971,3,December,1971,India,War,Bangladesh,Led to the independence of Bangladesh,Bengalis in East Pakistan,"Indian Military, Mukti Bahini",Negative
11,PokhranUnknownII Nuclear Tests,11,May,1998,India,Nuclear Test,Pokhran,India declared itself a nuclear state,International community,Atal Bihari Vajpayee,Mixed
12,Mumbai Terror Attacks,26,November,2008,India,Terrorism,Mumbai,Highlighted the threat of international terrorism,Citizens of Mumbai,LashkarUnknowneUnknownTaiba,Negative
13,Arrival of Vasco da Gama,20,May,1498,India,Exploration,Calicut,Marked the beginning of European colonial interests in India,Coastal communities,Vasco da Gama,Negative
14,Battle of Plassey,23,June,1757,India,Battle,Plassey,Foundation for the expansion of British rule in India,Bengal and later all of India,East India Company,Negative
15,First War of Indian Independence,10,May,1857,India,Revolt,Meerut,First largeUnknownscale rebellion against British rule,"Rebels, British Raj","Indian soldiers, British East India Company",Negative
