ID;Country;Latitude;Longitude;Page;Battle;Year;Participants;War;Winner;Loser;Participant 1;Participant 2;Lehmann Zhukov Scale;Theatre;Polygon;Massacre;Alternative Sources Consulted;Infered Scale;Minor
1stDragasani1821;Greece;44.6631799;24.2608711;Clodfelter, p191;Dragasani;1821;;Greek War of Independence;Greek Rebels;Ottoman Empire;;;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p191;;
1stGiurgevo1811;Romania;43.8977007;25.9274978;Clodfelter, p190;Giurgevo;1811;;Russo-Turkish Wars;Ottoman Empire;Russia;;;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p190;;
2ndBreslau1757;Poland;51.1078852;17.0385376;Clodfelter, p80;Breslau;1757;;Seven Years War;Prussia;Habsburg Empire;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p80;;
2ndGiurgevo1811;Romania;43.8977007;25.9274978;;Giurgevo;1811;;Russo-Turkish Wars;Russia;Ottoman Empire;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p190;;
2ndSchweidnitz1757;Poland;50.8498434;16.475679;Clodfelter, p80;Schweidnitz;1757;;Seven Years' War;Prussia;Habsburg Empire;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p80;;
A Shau1966;Vietnam;16.1245222;107.3314423;75;A Shau;1966;['Vietnamese', 'Laotian', 'Hue', 'South Vietnamese', 'American', 'Communist'];['Vietnam War', 'the A Shau Valley'];South Vietnam, United States;Viet Cong;;;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p676;;
Aa River1917;Latvia;56.8206989;23.5755013;1;Aa River;1917;['German', 'Russian', 'Riga', 'Germans'];['World War I'];Germany;Russia;Germany;Russia;4;Land;;No;;1;
Aachen1944;Germany;50.7753455;6.0838868;1;Aachen;1944;['American', 'German', 'Hurtgen'];['World War II'];United States;Germany;United States;Germany;3;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p827;;
Aardenburg1672;Netherlands;51.2742727;3.4453328;1;Aardenburg;1672;['Spanish', 'Netherlands', 'French', 'Dutch', 'Zeeland', 'Aardenburg', 'Zeeland'];3rd Dutch War;Netherlands;France;Netherlands;France;;Land;;No;;;
Aasle1389;Sweden;58.1775353;13.6869345;1;Aasle;1389;['Denmark', 'Sweden', 'Aasle', 'Falkoping', 'Sweden', 'Denmark', 'Norway', 'Sweden'];Wars of Scandinavian Union;Denmark;Sweden;Denmark;Sweden;;Land;;No;;;
Abadan1980;Iran;30.347296;48.2934004;1;Abadan;1980;['Khorramshahr', 'Iraqi', 'Arab', 'Iran', 'Iran', 'Iraqis', 'Iran'];['Iraq-Iran War'];Draw;;Iran;Iraq;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p588;1;
Abadan1981;Iran;30.347296;48.2934004;1;Abadan;1981;['Susangerd', 'Irans', 'Iran', 'Iraqis'];['Iraq-Iran War'];Iran;Iraq;Iran;Iraq;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p588;;
Abagana1968;Nigeria;6.1864553;6.9799755;2;Abagana;1968;['Abagana'];['Biafran War'];Biafran Rebels;Nigeria;Biafran Rebels;Nigeria;1;Land;;No;;;
Abakrampa1873;Ghana;5.245212;-1.230904;2;Abakrampa;1873;['British', 'Ghana', 'Essaman'];2nd British Ashanti War;United Kingdom;Ashanti;United Kingdom;Ashanti;;Land;;No;;;
Abancay1537;Peru;-13.6391954;-72.8929;2;Abancay;1537;['Spanish', 'Peru', 'Spanish', 'Peru', 'Peru', 'Alonzo', 'Almagro', 'Pizarrist'];['Civil War'];Almagro Faction in Spanish Civil War;Pizzarists;Almagro Faction in Spanish Civil War;Pizzarists;;Land;;No;;;
Abbasabad1827;Iran;36.7240776;51.1141183;2;Abbasabad;1827;['Russo', 'Russian', 'Persian', 'Persian'];Russo-Persian Wars;Russia;Persia;Russia;Persia;3;Land;;No;;;
Abeche1983;Chad;13.8359124;20.8433709;2;Abeche;1983;['Libyan', 'Chad'];Chad Civil War;Chad;Chadian Rebels;Chad;Chadian Rebels;;Land;;No;;;
Abensberg1809;Germany;48.8177181;11.8507867;2;Abensberg;1809;['Napoleonic', 'French', 'Spain', 'Bavaria', 'Austrians'];Napoleonic Wars (5th Coalition);France;Austria;France;Habsburg Empire;3;Land;;No;"Encyclopedia of Warfare, Showalter, 2014, p522; Harbottle's Dictionary of Battles, p86";;
Aber Edw1282;United Kingdom;52.1168663;-3.3541708;3;Aber Edw;1282;['English', 'Wales', 'Radnor'];Anglo-Welsh Wars;England;Wales;England;Wales;;Land;;No;;;
Abercorn1455;United Kingdom;55.994843;-3.4746957;2;Abercorn;1455;['Douglas', 'Scotland', 'Queensferry', 'England'];Douglas Rebellion;Scotland;Earl of Douglas;Scotland;Earl of Douglas;;Land;;No;;;
Aberdare, Kenya1955;Kenya;-0.4145514;36.6661998;2;Aberdare, Kenya;1955;['Kenya', 'Kenya'];Mau Mau Rebellion;Draw;;United Kingdom;Mau Mau Rebels;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p560;1;
Aberdare, Kenya1955(2nd);Kenya;-0.4145514;36.6661998;3;Aberdare, Kenya;1955;['Kenya', 'Kenya', 'British', 'British', 'Kenya'];Mau Mau War;Mau Mau;United Kingdom;Mau Mau;United Kingdom;2;Land;;No;;;
Aberdare, Wales1093;United Kingdom;51.716154;-3.451816;3;Aberdare, Wales;1093;['Wales', 'Glamorgan'];Anglo-Welsh Wars;England;Wales;England;Wales;;Land;;No;;;
Aberdeen1644;United Kingdom;57.149717;-2.094278;3;Aberdeen;1644;['British', 'Scottish', 'Aberdeen', 'Inverlochy'];British Civil Wars;Royalists;Covenanters;Royalists;Covenanters;1;Land;;Battle followed by massacre;https://www.battlefieldstrust.com/media/669.pdf;;
Aboasa1900;Ghana;6.8076157;-1.5454459;Clodfelter, p351;Aboasa;1900;;Ashanti Rising;United Kingdom;Ashanti Rebels;;;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p351;;
Abomey1892;Benin;7.1854773;1.9979411;3;Abomey;1892;['French'];['Dahomean War'];France;Dahomey;France;Dahomey;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p208;;
Aboukir1799;Egypt;31.3114241;30.0603342;3;Aboukir;1799;['French', 'British', 'Turkish', 'Egypt', 'French', 'Turkish'];French Revolutionary Wars;France;Ottoman Empire;France;Ottoman Empire;2;Land;;No;The Field and the Forge, Landers, p390;;
Aboukir1801;Egypt;31.3114241;30.0603342;3;Aboukir;1801;['French', 'British', 'Aboukir', 'French', 'Alexandria'];French Revolutionary Wars;United Kingdom, Ottoman Empire;France;United Kingdom, Ottoman Empire;France;2;Land;;No;Encyclopedia of Warfare, Amber Books, 2014, p510;;
Abrittus251;Bulgaria;43.5237175;26.5404685;3;Abrittus;251;['Philippopolis'];['Gothic War'];Goths, Scythians;Rome;Goths, Scythians;Rome;;Land;;No;;;
Abu Ageila1956;Egypt;30.83783;34.1133;4;Abu Ageila;1956;['Arab', 'Israels', 'Egypt', 'Sinai', 'Egyptians', 'Israels'];['Sinai War'];Israel;Egypt;Israel;Egypt;1;Land;;No;;;
Abu Ageila1967;Egypt;30.83783;34.1133;4;Abu Ageila;1967;['Arab', 'Israels', 'Egyptian', 'Egyptians'];Six Day War;Israel;Egypt;Israel;Egypt;4;Land;ABA1967;No;"https://www.armyupress.army.mil/Portals/7/combat-studies-institute/csi-books/key-to-the-sinai.pdf; Shapefile taken from Page 10";;
Abu Hamed1897;Sudan;19.5253379;33.2798188;4;Abu Hamed;1897;['British', 'British', 'Sudan', 'British', 'Sudanese'];British-Sudan Wars;United Kingdom;Sudanese Mahdists;United Kingdom;the Mahdiyya;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p203;;
Abu Klea1885;Sudan;16.9833533;33.2912452;4;Abu Klea;1885;['British', 'British'];British-Sudanese Wars;United Kingdom;Sudanese Mahdists;United Kingdom;the Mahdiyya;2;Land;;No;Encyclopedia of Warfare, Amber Books, London, 2014, p709;;
Abu Kru1885;Sudan;16.6399301;33.0806383;4;Abu Kru;1885;['British', 'Dongola', 'British', 'Mahdists', 'British', 'Cairo'];British-Sudan Wars;United Kingdom;Sudanese Mahdists;United Kingdom;the Mahdiyya;;Land;;No;For location, Spiers, the Victorian Soldier in Africa;;
Abu Tellul1918;Israel;31.9231824;35.3566345;4;Abu Tellul;1918;['Jericho', 'Turkish', 'German', 'Australian', 'Germans'];['World War'];Australia;Germany, Ottoman Empire;Australia;Germany, Ottoman Empire;;Land;;No;;;
Abydos-200;Egypt;26.1837366;31.9227288;4;Abydos;-200;['Macedon', 'Abydos', 'Asian', 'Rhodian'];['Macedonian War'];Macedonia;Abydos, Pergamum, Rhodes;Macedonia;Abydos, Pergamum, Rhodes;;Land;;No;;;
Abydos989;Egypt;26.1837366;31.9227288;4;Abydos;989;['Byzantine'];Byzantine Military Rebellions;Emperor Basil II;Bardas Phocas;Emperor Basil II;Bardas Phocas;;Land;;No;;;
Acajete1839;Mexico;19.1061301;-97.9522432;5;Acajete;1839;['Mexican', 'Mexican', 'Jalapa', 'Tampico'];Mexican Federalist Wars;Mexico;Mexican Rebels;Mexico;Mexican Rebels;1;Land;;No;;;
Acambaro1858;Mexico;20.025105;-100.718241;5;Acambaro;1858;['Mexico', 'Conservative', 'Acambaro'];['Mexican War'];Draw;;Mexican Liberals;Mexican Conservatives;1;Land;;No;;;
Acapulco1855;Mexico;16.8531086;-99.8236533;5;Acapulco;1855;['Mexican', 'Acapulco', 'Mexico', 'Santa Anna', 'Mexican'];Mexican Liberal Rebellion;Mexican Liberals;Mexican Conservatives;Mexican Liberals;Mexican Conservatives;;Land;;No;;;
Accra1824;Ghana;5.554828;-0.200086;Harbottles, p10;Accra;1824;;First British-Ashanti War;Ashanti Kingdom;United Kingdom;;;2;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p10;;
Accra1825;Ghana;5.554828;-0.200086;Harbottles, p10;Accra;1825;;First British Ashanti War;United Kingdom;Ashanti Kingdom;;;2;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p10;;
Acerrae-90;Italy;40.9441091;14.371438;5;Acerrae;-90;['Rome'];Roman Social War;Rome;Samnites;Rome;Samnites;;Land;;No;;;
Acheribe1893;Benin;9.30769;2.315834;5;Acheribe;1893;['Abomey', 'France', 'Behanzins'];3rd Franco-Dahomean War;France;Dahomey;France;Dahomey;;Land;;No;;;
Ackia1736;United States;34.2721578;-88.7379271;5;Ackia;1736;['Louisiana', 'Chickasaw', 'French', 'Mississippi', 'French', 'Indian', 'New Orleans'];Chickasaw-French War;Chickasaws;France;Chickasaws;France;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p119;;
Aclea851;United Kingdom;51.4268318;0.3545853;5;Aclea;851;['Britain', 'London', 'Thames'];Viking Raids on Britain;Wessex;Danish Vikings;Wessex;Danish Vikings;;Land;;No;;;
Acomo Pueblo1598;United States;34.8963361;-107.5910634;6;Acomo Pueblo;1598;[];Spanish Conquest of New Mexico;Spain;Pueblo Indians;Spain;Pueblo Indians;1;Land;;Battle followed by masssacre;;;
Acosta-Nu1869;Paraguay;-25.419142;-57.5445587;6;Acosta-Nu;1869;['Piribebuy', 'Brazilian'];War of the Triple              Alliance;Brazil;Paraguay;Brazil;Paraguay;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p322;;
